Ticker,CompanyName,LegalName,EntityType,Sector,Exchange,PeerGroup,Methodology,Active,IndustryLevelUsed,IndustrySource,ICBCode1,ICBName1,ICBCode2,ICBName2,ICBCode3,ICBName3,ICBCode4,ICBName4
ABB,ABB,ABB,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
ACB,ACB,Ngân hàng TMCP Á Châu,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
BAB,Bac A Bank,Ngân hàng TMCP Bắc Á,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
BID,BIDV,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
BVB,BVB,BVB,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
CTG,VietinBank,Ngân hàng TMCP Công Thương Việt Nam,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
EIB,Eximbank,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
HDB,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
KLB,KienlongBank,Ngân hàng TMCP Kiên Long,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
LPB,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
MBB,MB Bank,Ngân hàng TMCP Quân đội,BANK,Ngân hàng,,Ngân hàng niêm yết/ĐKGD,BANK_2026,1,ICBName2,VNSTOCK_ICB_AUTO,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
