Ticker,Period,Metric,Value
VCB,2026-Q2,ROE,0.1791575023
VCB,2026-Q1,ROE,0.16059325
VCB,2025-Q4,ROE,0.1672069733
VCB,2025-Q3,ROE,0.1676701809
VCB,2025-Q2,ROE,0.1721818224
VCB,2025-Q1,ROE,0.1756325908
VCB,2024-Q4,ROE,0.1873163957
VCB,2024-Q3,ROE,0.1939126694
VCB,2024-Q2,ROE,0.1951290992
VCB,2024-Q1,ROE,0.1997346761
VCB,2023-Q4,ROE,0.2197388427
VCB,2023-Q3,ROE,0.2263474527
VCB,2023-Q2,ROE,0.2301971451
VCB,2023-Q1,ROE,0.2315732438
VCB,2022-Q4,ROE,0.244309439
VCB,2022-Q3,ROE,0.2202979774
VCB,2022-Q2,ROE,0.2165486775
VCB,2022-Q1,ROE,0.2157232139
VCB,2021-Q4,ROE,0.2039355727
VCB,2021-Q3,ROE,0.2039355727
VCB,2021-Q1,ROE,0.2210981547832489
VCB,2020-Q4,ROE,0.2108986857
VCB,2020-Q3,ROE,0.1940954746
VCB,2020-Q2,ROE,0.2133901976
VCB,2020-Q1,ROE,0.2189137295
VCB,2019-Q4,ROE,0.2587808264
VCB,2019-Q3,ROE,0.2632481774
VCB,2019-Q2,ROE,0.2515104159
VCB,2019-Q1,ROE,0.2466029362
VCB,2018-Q4,ROE,0.2545915437
VCB,2018-Q3,ROE,0.209957537
VCB,2018-Q2,ROE,0.2026318919
VCB,2018-Q1,ROE,0.1918870737
VCB,2026-Q2,ROA,0.0166114014
VCB,2026-Q1,ROA,0.014991243
VCB,2025-Q4,ROA,0.0155373131
VCB,2025-Q3,ROA,0.0159773247
VCB,2025-Q2,ROA,0.0166133201
VCB,2025-Q1,ROA,0.0169037963
VCB,2024-Q4,ROA,0.0172367854
VCB,2024-Q3,ROA,0.0185861353
VCB,2024-Q2,ROA,0.0183856002
VCB,2024-Q1,ROA,0.0185155376
VCB,2023-Q4,ROA,0.0180833998
VCB,2023-Q3,ROA,0.018943357
VCB,2023-Q2,ROA,0.0184772354
VCB,2023-Q1,ROA,0.017891605
VCB,2022-Q4,ROA,0.0185219931
VCB,2022-Q3,ROA,0.0172399119
VCB,2022-Q2,ROA,0.017014105
VCB,2022-Q1,ROA,0.0159938645
VCB,2021-Q4,ROA,0.0159551824
VCB,2021-Q3,ROA,0.0159551824
VCB,2021-Q1,ROA,0.0170018598437309
VCB,2020-Q4,ROA,0.0144775838
VCB,2020-Q3,ROA,0.0144866746
VCB,2020-Q2,ROA,0.0154799718
VCB,2020-Q1,ROA,0.0154758807
VCB,2019-Q4,ROA,0.0161192423
VCB,2019-Q3,ROA,0.0175244171
VCB,2019-Q2,ROA,0.0162089465
VCB,2019-Q1,ROA,0.0153867213
VCB,2018-Q4,ROA,0.0138486139
VCB,2018-Q3,ROA,0.0120500618
VCB,2018-Q2,ROA,0.0115398337
VCB,2018-Q1,ROA,0.0109680561
VCB,2026-Q2,NIM,0.0274697447
VCB,2026-Q1,NIM,0.0265751413
VCB,2025-Q4,NIM,0.026405665
