Ticker,CompanyName,EntityType,Sector,Exchange,PeerGroup,Methodology,Price,BalanceSheet,IncomeStatement,SpecialMetrics,PeerMapped,MethodologyEligible,CoveragePct,Readiness
VCB,Vietcombank,BANK,Ngân hàng,HOSE,Ngân hàng niêm yết lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
BID,BIDV,BANK,Ngân hàng,HOSE,Ngân hàng niêm yết lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
CTG,VietinBank,BANK,Ngân hàng,HOSE,Ngân hàng niêm yết lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
TCB,Techcombank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
MBB,MB Bank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
ACB,ACB,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
HDB,HDBank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
VPB,VPBank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
STB,Sacombank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân lớn,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
VIB,VIB,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
SHB,SHB,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
TPB,TPBank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
LPB,LPBank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
OCB,OCB,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
MSB,MSB,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
SSB,SeABank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
EIB,Eximbank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
NAB,Nam A Bank,BANK,Ngân hàng,HOSE,Ngân hàng tư nhân trung bình,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
KLB,KienlongBank,BANK,Ngân hàng,UPCOM,Ngân hàng tư nhân nhỏ,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
BAB,Bac A Bank,BANK,Ngân hàng,HNX,Ngân hàng tư nhân nhỏ,BANK_2026,1,1,1,3,1,1,1.0,PRODUCTION_READY
SSI,SSI Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô lớn,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
HCM,HSC,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô lớn,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VCI,Vietcap Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô lớn,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VND,VNDIRECT,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô lớn,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
MBS,MB Securities,SECURITIES,Công ty chứng khoán,HNX,CTCK quy mô lớn,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
SHS,Saigon Hanoi Securities,SECURITIES,Công ty chứng khoán,HNX,CTCK quy mô lớn,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VIX,VIX Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô lớn,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
FTS,FPT Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
BSI,BIDV Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
CTS,VietinBank Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
ORS,Tiên Phong Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
AGR,Agriseco,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VDS,Rong Viet Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
TVS,Thien Viet Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
BVS,Bao Viet Securities,SECURITIES,Công ty chứng khoán,HNX,CTCK quy mô trung bình,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
APG,APG Securities,SECURITIES,Công ty chứng khoán,HOSE,CTCK quy mô nhỏ,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
