id,item,level,order,unit,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_NET_REVENUE,IS_NET_REVENUE,1,0,VNĐ,138855112131387.0,30852359591717.0,39555509827454.0,33956260285527.0,34490982426689.0,156116094618482.0,37621674553578.0,35910519111209.0,36407416403924.0,46176484549771.0,52900847302653.0,55158902298901.0
IS_COST_OF_GOODS_SOLD,IS_COST_OF_GOODS_SOLD,1,1,VNĐ,-120357563003703.0,-26698376631120.0,-34308029337809.0,-29225083561286.0,-30126073473488.0,-131618306435300.0,-32197520628446.0,-29320796625500.0,-30320155128758.0,-39779834052596.0,-44535778694658.0,-44671115105470.0
IS_GROSS_PROFIT,IS_GROSS_PROFIT,1,2,VNĐ,18497549127684.0,4153982960597.0,5247480489645.0,4731176724241.0,4364908953201.0,24497788183182.0,5424153925132.0,6589722485709.0,6087261275166.0,6396650497175.0,8365068607995.0,10487787193431.0
IS_SELLING_EXPENSES,IS_SELLING_EXPENSES,1,3,VNĐ,-2337308685264.0,-640378790675.0,-746509647378.0,-720208188679.0,-230212058532.0,-2633630711908.0,-737815718816.0,-825371907199.0,-798965987739.0,-271477098154.0,-1344969024100.0,-1717603199584.0
IS_GENERAL_AND_ADMINISTRATIVE_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE_EXPENSES,1,4,VNĐ,-1545516022772.0,-317278495246.0,-389417899107.0,-321501544741.0,-517318083678.0,-1436537357489.0,-347243794856.0,-322285873598.0,-355963309576.0,-411044379459.0,-385901879604.0,-307796866973.0
IS_OPERATING_PROFIT,IS_OPERATING_PROFIT,1,5,VNĐ,13267005585330.0,2887667766458.0,3691521124284.0,3385017591478.0,3302799103110.0,17905833947635.0,3806582011002.0,4960786332190.0,4571024716176.0,4567440888267.0,10704033503572.0,7155004358406.0
IS_INTEREST_EXPENSES,IS_INTEREST_EXPENSES,1,6,VNĐ,-2287360810880.0,-635618987620.0,-564134360513.0,-525114798901.0,-562492663846.0,-3114855868974.0,-627024360692.0,-439112631420.0,-812194101705.0,-1236524775157.0,-1333414699291.0,-1519613868123.0
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,7,VNĐ,13693502261178.0,3261215356873.0,3733225669765.0,3412385133844.0,3286676100696.0,18040591977880.0,3839765349020.0,4972383493663.0,4628313172434.0,4600129962763.0,10762183839545.0,7184684207426.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,8,VNĐ,12020023621271.0,2869182602472.0,3319574718545.0,3021671984903.0,2809594315351.0,15514931571606.0,3349805416084.0,4264524105532.0,4012252316723.0,3888349733267.0,9055918200023.0,6424474267094.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,9,VNĐ,1420214803.0,1406090519.0,311576683.0,1274647147.0,948946180.0,61757565383.0,5520721696.0,8036893768.0,23933842184.0,24266107735.0,61914955881.0,53455262531.0
