TargetTicker,Ticker,SimilarityScore,DistanceScore,MetricsCoverage,PeerPool,SimilarityBasis,PeerRank,CompanyName,LegalName,Sector,EntityType
ABB,PCB,0.8223714285714285,0.1776285714285714,0.32,Ngân hàng niêm yết/ĐKGD,TotalAssets,1,PCB,PCB,Ngân hàng,BANK
ABB,VAB,0.8194429908715622,0.1805570091284377,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, NPL",2,VAB,VAB,Ngân hàng,BANK
ABB,NAB,0.8020582592011164,0.1979417407988836,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,Nam A Bank,Ngân hàng TMCP Nam Á,Ngân hàng,BANK
ABB,BAB,0.7921623350194779,0.2078376649805221,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, CAR",4,Bac A Bank,Ngân hàng TMCP Bắc Á,Ngân hàng,BANK
ABB,KLB,0.7633118204546776,0.2366881795453223,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",5,KienlongBank,Ngân hàng TMCP Kiên Long,Ngân hàng,BANK
ABB,LPB,0.7414268271411129,0.2585731728588872,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",6,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,BANK
ABB,VBB,0.7242431249591743,0.2757568750408257,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CASA",7,VBB,VBB,Ngân hàng,BANK
ABB,EIB,0.6887842316413744,0.3112157683586256,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, CASA",8,Eximbank,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng,BANK
ABB,PGB,0.6827838827838828,0.3172161172161172,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, CAR, NIM",9,PGB,PGB,Ngân hàng,BANK
ABB,HDB,0.6791673934531077,0.3208326065468922,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CASA",10,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,BANK
