Ticker,Period,Dataset,Field,Value,DataType,SourceMode
AAS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,balance_sheet,order,175.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,balance_sheet,level,3.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,balance_sheet,off_balance,1.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,balance_sheet,value,0.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,income_statement,order,79.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,income_statement,level,2.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,cash_flow,order,141.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,cash_flow,level,2.0,ACTUAL,VNSTOCK_BRONZE
AAS,LATEST,cash_flow,value,0.0,ACTUAL,VNSTOCK_BRONZE
