Ticker,Period,Dataset,Field,Value,DataType,SourceMode
AGF,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,balance_sheet,value,1475061263214.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
AGF,LATEST,cash_flow,value,22794911009.0,ACTUAL,VNSTOCK_BRONZE
