Ticker,Period,Dataset,Field,Value,DataType,SourceMode
ANV,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,balance_sheet,value,3020243120086.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,income_statement,value,606.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
ANV,LATEST,cash_flow,value,6242775876.0,ACTUAL,VNSTOCK_BRONZE
