Ticker,Period,Dataset,Field,Value,DataType,SourceMode
API,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,balance_sheet,value,1523077801559.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
API,LATEST,cash_flow,value,156939662818.0,ACTUAL,VNSTOCK_BRONZE
