Ticker,Period,Dataset,Field,Value,DataType,SourceMode
ASG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,balance_sheet,value,1213972054432.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,income_statement,value,868.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
ASG,LATEST,cash_flow,value,333903709436.0,ACTUAL,VNSTOCK_BRONZE
