Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BBM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,balance_sheet,value,34591990192.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,income_statement,value,929.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BBM,LATEST,cash_flow,value,1364869656.0,ACTUAL,VNSTOCK_BRONZE
