Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BCR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,balance_sheet,value,13312595900780.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,income_statement,value,1298.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BCR,LATEST,cash_flow,value,212037142039.0,ACTUAL,VNSTOCK_BRONZE
