Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BGE,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,balance_sheet,value,19624426082129.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,income_statement,value,-70.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BGE,LATEST,cash_flow,value,243975895459.0,ACTUAL,VNSTOCK_BRONZE
