Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BHA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,balance_sheet,value,2088879703746.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BHA,LATEST,cash_flow,value,485434665.0,ACTUAL,VNSTOCK_BRONZE
