Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BMC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,balance_sheet,value,227075707561.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BMC,LATEST,cash_flow,value,66705810260.0,ACTUAL,VNSTOCK_BRONZE
