Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BMG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,balance_sheet,value,184945717335.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,income_statement,value,3113.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BMG,LATEST,cash_flow,value,22810042773.0,ACTUAL,VNSTOCK_BRONZE
