Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BQB,LATEST,ratio,value,-0.0005690001,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,balance_sheet,value,83492698980.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BQB,LATEST,cash_flow,value,3733245592.0,ACTUAL,VNSTOCK_BRONZE
