Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BQP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,balance_sheet,value,526658231983.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BQP,LATEST,cash_flow,value,13603640007.0,ACTUAL,VNSTOCK_BRONZE
