Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BRR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,balance_sheet,value,1453038649170.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BRR,LATEST,cash_flow,value,63067293514.0,ACTUAL,VNSTOCK_BRONZE
