Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BTD,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,balance_sheet,value,628139121481.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BTD,LATEST,cash_flow,value,49933622897.0,ACTUAL,VNSTOCK_BRONZE
