Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BTT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,balance_sheet,value,467761349288.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,income_statement,value,735.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BTT,LATEST,cash_flow,value,59533795430.0,ACTUAL,VNSTOCK_BRONZE
