Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CAD,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,balance_sheet,value,759828475683.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CAD,LATEST,cash_flow,value,827773810.0,ACTUAL,VNSTOCK_BRONZE
