Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CBS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,balance_sheet,value,164807521064.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,income_statement,value,-8151.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CBS,LATEST,cash_flow,value,1333599959.0,ACTUAL,VNSTOCK_BRONZE
