Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CCC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,balance_sheet,value,1935187077748.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CCC,LATEST,cash_flow,value,97187948664.0,ACTUAL,VNSTOCK_BRONZE
