Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CDO,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,balance_sheet,value,407194417647.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CDO,LATEST,cash_flow,value,506851995.0,ACTUAL,VNSTOCK_BRONZE
