Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CDR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,balance_sheet,value,93621936516.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CDR,LATEST,cash_flow,value,12234614756.0,ACTUAL,VNSTOCK_BRONZE
