Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CEG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,balance_sheet,value,480715043615.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CEG,LATEST,cash_flow,value,12260747317.0,ACTUAL,VNSTOCK_BRONZE
