Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CKA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,balance_sheet,value,179951971213.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CKA,LATEST,cash_flow,value,8400573499.0,ACTUAL,VNSTOCK_BRONZE
