Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CKG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,balance_sheet,value,3317700305986.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CKG,LATEST,cash_flow,value,98618670475.0,ACTUAL,VNSTOCK_BRONZE
