Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CLC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,balance_sheet,value,1037349392521.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,income_statement,value,1411.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLC,LATEST,cash_flow,value,179883653756.0,ACTUAL,VNSTOCK_BRONZE
