Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CLH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,balance_sheet,value,428132808580.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLH,LATEST,cash_flow,value,8510618761.0,ACTUAL,VNSTOCK_BRONZE
