Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CLM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,balance_sheet,value,686089731176.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLM,LATEST,cash_flow,value,76186018714.0,ACTUAL,VNSTOCK_BRONZE
