Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CLX,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,balance_sheet,value,1734983384162.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CLX,LATEST,cash_flow,value,21131307608.0,ACTUAL,VNSTOCK_BRONZE
