Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CMW,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,balance_sheet,value,338610715384.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CMW,LATEST,cash_flow,value,25048887359.0,ACTUAL,VNSTOCK_BRONZE
