Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CTI,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,balance_sheet,value,4267489485025.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,income_statement,value,425.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTI,LATEST,cash_flow,value,227215643836.0,ACTUAL,VNSTOCK_BRONZE
