Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CTX,LATEST,ratio,value,0.4412979824,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,balance_sheet,value,2615845135915.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTX,LATEST,cash_flow,value,502689683355.0,ACTUAL,VNSTOCK_BRONZE
