Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DBM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,balance_sheet,value,95481746710.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,income_statement,value,3200.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DBM,LATEST,cash_flow,value,13048885097.0,ACTUAL,VNSTOCK_BRONZE
