Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DCS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,balance_sheet,value,672962319941.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DCS,LATEST,cash_flow,value,2228068991.0,ACTUAL,VNSTOCK_BRONZE
