Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DCT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,balance_sheet,value,716486773245.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DCT,LATEST,cash_flow,value,2172787321.0,ACTUAL,VNSTOCK_BRONZE
