Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DDG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,balance_sheet,value,358828984421.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DDG,LATEST,cash_flow,value,14603520134.0,ACTUAL,VNSTOCK_BRONZE
