Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DDM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,balance_sheet,value,730405190415.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DDM,LATEST,cash_flow,value,12171620604.0,ACTUAL,VNSTOCK_BRONZE
