Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DHC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,balance_sheet,value,1424663221776.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DHC,LATEST,cash_flow,value,74259137503.0,ACTUAL,VNSTOCK_BRONZE
