Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DHN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,balance_sheet,value,100198865212.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DHN,LATEST,cash_flow,value,10187631406.0,ACTUAL,VNSTOCK_BRONZE
