Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DIG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,balance_sheet,value,6251598675419.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DIG,LATEST,cash_flow,value,249865295847.0,ACTUAL,VNSTOCK_BRONZE
