Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DKG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,balance_sheet,value,292365929550.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DKG,LATEST,cash_flow,value,13032776501.0,ACTUAL,VNSTOCK_BRONZE
