Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DNB,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,balance_sheet,value,28907725083.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DNB,LATEST,cash_flow,value,3091511156.0,ACTUAL,VNSTOCK_BRONZE
