Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DNM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,balance_sheet,value,136555709024.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DNM,LATEST,cash_flow,value,8954155583.0,ACTUAL,VNSTOCK_BRONZE
