Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DPC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,balance_sheet,value,45465374959.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DPC,LATEST,cash_flow,value,18614433602.0,ACTUAL,VNSTOCK_BRONZE
