Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DQC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,balance_sheet,value,1569560620236.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DQC,LATEST,cash_flow,value,199126440204.0,ACTUAL,VNSTOCK_BRONZE
