Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DSN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,balance_sheet,value,187457426920.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DSN,LATEST,cash_flow,value,35685574335.0,ACTUAL,VNSTOCK_BRONZE
