Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DTE,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,balance_sheet,value,1794526443929.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DTE,LATEST,cash_flow,value,3174225662.0,ACTUAL,VNSTOCK_BRONZE
