Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DTL,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,balance_sheet,value,2501549104268.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DTL,LATEST,cash_flow,value,23240424046.0,ACTUAL,VNSTOCK_BRONZE
