Ticker,Period,Dataset,Field,Value,DataType,SourceMode
DVG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,balance_sheet,value,385941424427.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
DVG,LATEST,cash_flow,value,3837950480.0,ACTUAL,VNSTOCK_BRONZE
