Ticker,Period,Dataset,Field,Value,DataType,SourceMode
EGL,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,balance_sheet,value,133357571077.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
EGL,LATEST,cash_flow,value,16478386361.0,ACTUAL,VNSTOCK_BRONZE
