Ticker,Period,Dataset,Field,Value,DataType,SourceMode
FBC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,balance_sheet,value,301425849275.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
FBC,LATEST,cash_flow,value,19474092396.0,ACTUAL,VNSTOCK_BRONZE
