Ticker,Period,Dataset,Field,Value,DataType,SourceMode
FCM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,balance_sheet,value,1074760384715.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
FCM,LATEST,cash_flow,value,35015952233.0,ACTUAL,VNSTOCK_BRONZE
