Ticker,Period,Dataset,Field,Value,DataType,SourceMode
FGL,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,balance_sheet,value,200801060895.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
FGL,LATEST,cash_flow,value,8826609832.0,ACTUAL,VNSTOCK_BRONZE
