Ticker,Period,Dataset,Field,Value,DataType,SourceMode
FHN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,balance_sheet,value,176341995075.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
FHN,LATEST,cash_flow,value,27145187489.0,ACTUAL,VNSTOCK_BRONZE
