Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GCF,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,balance_sheet,value,620707259596.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,income_statement,value,131.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GCF,LATEST,cash_flow,value,9848808378.0,ACTUAL,VNSTOCK_BRONZE
