Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GDT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,balance_sheet,value,329666728515.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GDT,LATEST,cash_flow,value,2855577734.0,ACTUAL,VNSTOCK_BRONZE
