Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GEG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,balance_sheet,value,1694197035701.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GEG,LATEST,cash_flow,value,124639025646.0,ACTUAL,VNSTOCK_BRONZE
