Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GGG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,balance_sheet,value,51949530975.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GGG,LATEST,cash_flow,value,30672745.0,ACTUAL,VNSTOCK_BRONZE
