Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GHC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,balance_sheet,value,378762324459.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,income_statement,value,1105.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GHC,LATEST,cash_flow,value,97037136542.0,ACTUAL,VNSTOCK_BRONZE
