Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GIC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,balance_sheet,value,336209843760.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GIC,LATEST,cash_flow,value,27556098666.0,ACTUAL,VNSTOCK_BRONZE
